No,Split,Arsitektur,Activation,Learning Rate,Epoch,Loss (MSE),Acc Train,Train Precision 0,Train Precision 1,Train Precision 2,Train Recall 0,Train Recall 1,Train Recall 2,Train F1 0,Train F1 1,Train F1 2,Support 0,Support 1,Support 2
66,70:30,"(32, 64, 16)",tanh,0.04,23,0.00648,0.9935,0.996,0.991,0.9911,0.9962,0.9905,0.9917,0.9961,0.9907,0.9914,5250,3675,1575
67,70:30,"(32, 64, 16)",tanh,0.08,26,0.00848,0.9915,0.9964,0.9875,0.9849,0.9933,0.9883,0.993,0.9948,0.9879,0.9889,5250,3675,1575
68,70:30,"(32, 64, 16)",tanh,0.06,35,0.00952,0.9905,0.9981,0.9801,0.9899,0.9876,0.9929,0.9943,0.9928,0.9865,0.9921,5250,3675,1575
69,70:30,"(32, 64, 16)",tanh,0.005,70,0.00495,0.995,0.9971,0.9951,0.988,0.9975,0.9907,0.9968,0.9973,0.9929,0.9924,5250,3675,1575
70,70:30,"(32, 64, 16)",tanh,0.009,35,0.00667,0.9933,0.9977,0.9889,0.9892,0.9949,0.9921,0.9911,0.9963,0.9905,0.9902,5250,3675,1575
71,70:30,"(32, 64, 16)",tanh,0.007,70,0.004,0.996,0.9975,0.9967,0.9893,0.9983,0.9918,0.9981,0.9979,0.9943,0.9937,5250,3675,1575
72,70:30,"(32, 64, 16)",tanh,0.2,35,0.00676,0.9932,0.9985,0.9886,0.9868,0.9928,0.9921,0.9975,0.9956,0.9904,0.9921,5250,3675,1575
73,70:30,"(32, 64, 16)",tanh,0.6,26,0.01029,0.9897,0.9985,0.9843,0.9739,0.9901,0.9864,0.9962,0.9943,0.9853,0.9849,5250,3675,1575
74,70:30,"(32, 64, 16)",tanh,0.012,59,0.00429,0.9957,0.9992,0.9946,0.9868,0.9964,0.9932,0.9994,0.9978,0.9939,0.9931,5250,3675,1575
75,70:30,"(32, 64, 16)",tanh,0.01,59,0.0041,0.9959,0.9996,0.9946,0.9868,0.9964,0.9937,0.9994,0.998,0.9941,0.9931,5250,3675,1575
76,70:30,"(32, 64, 16)",tanh,0.015,37,0.00676,0.9932,0.9943,0.9929,0.9905,0.996,0.9878,0.9968,0.9951,0.9903,0.9937,5250,3675,1575
77,70:30,"(32, 64, 16)",tanh,0.018,25,0.00876,0.9912,0.999,0.9848,0.9806,0.9905,0.9902,0.9962,0.9947,0.9875,0.9883,5250,3675,1575
78,70:30,"(32, 64, 16)",tanh,0.0111,49,0.00448,0.9955,0.9983,0.9924,0.9937,0.9966,0.9948,0.9937,0.9974,0.9936,0.9937,5250,3675,1575
79,70:30,"(128, 64, 32, 16)",logistic,0.04,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
80,70:30,"(128, 64, 32, 16)",logistic,0.08,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
81,70:30,"(128, 64, 32, 16)",logistic,0.06,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
82,70:30,"(128, 64, 32, 16)",logistic,0.005,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
