No,Split,Arsitektur,Activation,Learning Rate,Epoch,Loss (MSE),Acc Train,Train Precision 0,Train Precision 1,Train Precision 2,Train Recall 0,Train Recall 1,Train Recall 2,Train F1 0,Train F1 1,Train F1 2,Support 0,Support 1,Support 2
120,60:40,"(256, 128, 64, 32, 16)",logistic,0.06,38,0.01756,0.9824,0.9775,0.9857,0.9918,0.996,0.9638,0.9807,0.9867,0.9746,0.9862,4500,3150,1350
121,60:40,"(256, 128, 64, 32, 16)",logistic,0.005,16,0.00667,0.9933,0.9897,0.9965,0.9985,0.9996,0.9844,0.9933,0.9946,0.9904,0.9959,4500,3150,1350
122,60:40,"(256, 128, 64, 32, 16)",logistic,0.009,30,0.00689,0.9931,0.9938,0.9923,0.9926,0.9958,0.9879,0.9963,0.9948,0.9901,0.9945,4500,3150,1350
123,60:40,"(256, 128, 64, 32, 16)",logistic,0.007,26,0.00767,0.9923,0.9894,0.9945,0.997,0.9989,0.9835,0.9911,0.9941,0.989,0.9941,4500,3150,1350
124,60:40,"(256, 128, 64, 32, 16)",logistic,0.2,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,4500,3150,1350
125,60:40,"(256, 128, 64, 32, 16)",logistic,0.6,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,4500,3150,1350
126,60:40,"(256, 128, 64, 32, 16)",logistic,0.012,29,0.00589,0.9941,0.9936,0.9924,1.0,0.9984,0.9908,0.9874,0.996,0.9916,0.9937,4500,3150,1350
127,60:40,"(256, 128, 64, 32, 16)",logistic,0.01,22,0.00411,0.9959,0.9962,0.9981,0.9897,0.9989,0.9902,0.9993,0.9976,0.9941,0.9945,4500,3150,1350
128,60:40,"(256, 128, 64, 32, 16)",logistic,0.015,20,0.01278,0.9872,0.9804,0.998,0.9861,0.9996,0.9654,0.997,0.9899,0.9814,0.9915,4500,3150,1350
129,60:40,"(256, 128, 64, 32, 16)",logistic,0.018,20,0.00978,0.9902,0.9947,0.998,0.9588,0.9989,0.974,0.9993,0.9968,0.9859,0.9786,4500,3150,1350
